PIN,XC3S200AVQ100,BANK,TYPE,DIFF_PAIR,ROW,PIN_#
P1,TMS,VCCAUX,JTAG,,P,1
P2,TDI,VCCAUX,JTAG,,P,2
P3,IO_L01P_3,3,IO,TRUE,P,3
P4,IO_L01N_3,3,IO,TRUE,P,4
P5,IO_L02P_3,3,IO,TRUE,P,5
P6,IO_L02N_3,3,IO,TRUE,P,6
P7,IP_3/VREF_3,3,VREF,,P,7
P8,GND,GND,GND,,P,8
P9,IO_L03P_3/LHCLK0,3,CLK,TRUE,P,9
P10,IO_L03N_3/LHCLK1,3,CLK,TRUE,P,10
P11,VCCO_3,3,VCCO,,P,11
P12,IO_L04P_3/LHCLK2,3,CLK,TRUE,P,12
P13,IO_L04N_3/IRDY2/LHCLK3,3,CLK,TRUE,P,13
P14,GND,GND,GND,,P,14
P15,IO_L05P_3/TRDY2/LHCLK6,3,CLK,TRUE,P,15
P16,IO_L05N_3/LHCLK7,3,CLK,TRUE,P,16
P17,VCCINT,VCCINT,VCCINT,,P,17
P18,GND,GND,GND,,P,18
P19,IO_L06P_3,3,IO,TRUE,P,19
P20,IO_L06N_3,3,IO,TRUE,P,20
P21,IP_3,3,IP,,P,21
P22,VCCAUX,VCCAUX,VCCAUX,,P,22
P23,IO_L01P_2/M1,2,DUAL,TRUE,P,23
P24,IO_L02P_2/M2,2,DUAL,TRUE,P,24
P25,IO_L01N_2/M0,2,DUAL,TRUE,P,25
P26,VCCO_2,2,VCCO,,P,26
P27,IO_L02N_2/CSO_B,2,DUAL,TRUE,P,27
P28,IO_L03P_2/RDWR_B,2,DUAL,TRUE,P,28
P29,IO_L03N_2/VS2,2,DUAL,TRUE,P,29
P30,IO_L04P_2/VS1,2,DUAL,TRUE,P,30
P31,IO_L04N_2/VS0,2,DUAL,TRUE,P,31
P32,IO_L05P_2,2,IO,TRUE,P,32
P33,IO_L05N_2,2,IO,TRUE,P,33
P34,IO_L06P_2/D7,2,DUAL,TRUE,P,34
P35,IO_L06N_2/D6,2,DUAL,TRUE,P,35
P36,IO_L07P_2/D5,2,DUAL,TRUE,P,36
P37,IO_L07N_2/D4,2,DUAL,TRUE,P,37
P38,VCCINT,VCCINT,VCCINT,,P,38
P39,IP_2/VREF_2,2,VREF,,P,39
P40,IO_L08P_2/GCLK14,2,CLK,TRUE,P,40
P41,IO_L08N_2/GCLK15,2,CLK,TRUE,P,41
P42,GND,GND,GND,,P,42
P43,IO_L09P_2/GCLK0,2,CLK,TRUE,P,43
P44,IO_L09N_2/GCLK1,2,CLK,TRUE,P,44
P45,VCCO_2,2,VCCO,,P,45
P46,IO_2/MOSI/CSI_B,2,DUAL,,P,46
P47,GND,GND,GND,,P,47
P48,IO_L10P_2/INIT_B,2,DUAL,TRUE,P,48
P49,IO_L10N_2/D3,2,DUAL,TRUE,P,49
P50,IO_L11P_2/D2,2,DUAL,TRUE,P,50
P51,IO_L12P_2/D0/DIN/MISO,2,DUAL,TRUE,P,51
P52,IO_L11N_2/D1,2,DUAL,TRUE,P,52
P53,IO_L12N_2/CCLK,2,DUAL,TRUE,P,53
P54,DONE,VCCAUX,PROG,,P,54
P55,VCCAUX,VCCAUX,VCCAUX,,P,55
P56,IO_L01P_1,1,IO,TRUE,P,56
P57,IO_L01N_1,1,IO,TRUE,P,57
P58,GND,GND,GND,,P,58
P59,IO_L02P_1/RHCLK0,1,CLK,TRUE,P,59
P60,IO_L02N_1/RHCLK1,1,CLK,TRUE,P,60
P61,IO_L03P_1/RHCLK2,1,CLK,TRUE,P,61
P62,IO_L03N_1/TRDY1/RHCLK3,1,CLK,TRUE,P,62
P63,GND,GND,GND,,P,63
P64,IO_L04P_1/IRDY1/RHCLK6,1,CLK,TRUE,P,64
P65,IO_L04N_1/RHCLK7,1,CLK,TRUE,P,65
P66,VCCINT,VCCINT,VCCINT,,P,66
P67,VCCO_1,1,VCCO,,P,67
P68,IP_1/VREF_1,1,VREF,,P,68
P69,GND,GND,GND,,P,69
P70,IO_L05P_1,1,IO,TRUE,P,70
P71,IO_L05N_1,1,IO,TRUE,P,71
P72,IO_L06P_1,1,IO,TRUE,P,72
P73,IO_L06N_1,1,IO,TRUE,P,73
P74,GND,GND,GND,,P,74
P75,TDO,VCCAUX,JTAG,,P,75
P76,TCK,VCCAUX,JTAG,,P,76
P77,IO_L01P_0/VREF_0,0,VREF,TRUE,P,77
P78,IO_L01N_0,0,IO,TRUE,P,78
P79,VCCO_0,0,VCCO,,P,79
P80,GND,GND,GND,,P,80
P81,VCCINT,VCCINT,VCCINT,,P,81
P82,IP_0/VREF_0,0,VREF,,P,82
P83,IO_L02P_0/GCLK4,0,CLK,TRUE,P,83
P84,IO_L02N_0/GCLK5,0,CLK,TRUE,P,84
P85,IO_L03P_0/GCLK6,0,CLK,TRUE,P,85
P86,IO_L03N_0/GCLK7,0,CLK,TRUE,P,86
P87,GND,GND,GND,,P,87
P88,IO_L04P_0/GCLK8,0,CLK,TRUE,P,88
P89,IO_L04N_0/GCLK9,0,CLK,TRUE,P,89
P90,IO_0/GCLK11,0,CLK,,P,90
P91,GND,GND,GND,,P,91
P92,VCCAUX,VCCAUX,VCCAUX,,P,92
P93,IO_L05P_0,0,IO,TRUE,P,93
P94,IO_L05N_0,0,IO,TRUE,P,94
P95,GND,GND,GND,,P,95
P96,VCCO_0,0,VCCO,,P,96
P97,IP_0,0,IP,,P,97
P98,IO_L06P_0/VREF_0,0,VREF,TRUE,P,98
P99,IO_L06N_0/PUDC_B,0,DUAL,TRUE,P,99
P100,PROG_B,VCCAUX,CONFIG,,P,100
