PIN,XC3S50AFT256,BANK,TYPE,DIFF_PAIR,ROW,COLUMN
A1,GND,GND,GND,,A,1
A2,PROG_B,VCCAUX,CONFIG,,A,2
A3,IO_L19P_0,0,I/O,TRUE,A,3
A4,IO_L18P_0,0,I/O,TRUE,A,4
A5,IO_L17P_0,0,I/O,TRUE,A,5
A6,IO_L15P_0,0,I/O,TRUE,A,6
A7,N.C.,N.C.,N.C.,,A,7
A8,IO_L12P_0/GCLK10,0,GCLK,TRUE,A,8
A9,IO_L10N_0/GCLK7,0,GCLK,TRUE,A,9
A10,IO_L08N_0,0,I/O,TRUE,A,10
A11,IO_L07N_0,0,I/O,TRUE,A,11
A12,N.C.,N.C.,N.C.,,A,12
A13,IO_L04N_0,0,I/O,TRUE,A,13
A14,IO_L04P_0,0,I/O,TRUE,A,14
A15,TCK,VCCAUX,JTAG,,A,15
A16,GND,GND,GND,,A,16
B1,TDI,VCCAUX,JTAG,,B,1
B2,TMS,VCCAUX,JTAG,,B,2
B3,IO_L19N_0,0,I/O,TRUE,B,3
B4,IO_L18N_0,0,I/O,TRUE,B,4
B5,VCCO_0,0,VCCO,,B,5
B6,IO_L15N_0,0,I/O,TRUE,B,6
B7,GND,GND,GND,,B,7
B8,IO_L12N_0/GCLK11,0,GCLK,TRUE,B,8
B9,VCCO_0,0,VCCO,,B,9
B10,IO_L08P_0,0,I/O,TRUE,B,10
B11,GND,GND,GND,,B,11
B12,IP_0,0,INPUT,,B,12
B13,VCCO_0,0,VCCO,,B,13
B14,IO_L02N_0,0,I/O,TRUE,B,14
B15,IO_L02P_0/VREF_0,0,VREF,TRUE,B,15
B16,TDO,VCCAUX,JTAG,,B,16
C1,IO_L01N_3,3,I/O,TRUE,C,1
C2,IO_L01P_3,3,I/O,TRUE,C,2
C3,GND,GND,GND,,C,3
C4,IO_L20P_0/VREF_0,0,VREF,TRUE,C,4
C5,IO_L17N_0,0,I/O,TRUE,C,5
C6,IO_L16N_0,0,I/O,TRUE,C,6
C7,N.C.,N.C.,N.C.,,C,7
C8,IO_L11P_0/GCLK8,0,GCLK,TRUE,C,8
C9,IO_L10P_0/GCLK6,0,GCLK,TRUE,C,9
C10,IO_L09P_0/GCLK4,0,GCLK,TRUE,C,10
C11,IO_L07P_0,0,I/O,TRUE,C,11
C12,IO_L03P_0,0,I/O,TRUE,C,12
C13,IO_L01N_0,0,I/O,TRUE,C,13
C14,GND,GND,GND,,C,14
C15,IO_L24N_1,1,I/O,TRUE,C,15
C16,IO_L24P_1,1,I/O,TRUE,C,16
D1,IO_L03P_3,3,I/O,TRUE,D,1
D2,VCCO_3,3,VCCO,,D,2
D3,IO_L02N_3,3,I/O,TRUE,D,3
D4,IO_L02P_3,3,I/O,TRUE,D,4
D5,IO_L20N_0/PUDC_B,0,DUAL,TRUE,D,5
D6,IP_0,0,INPUT,,D,6
D7,IO_L16P_0,0,I/O,TRUE,D,7
