PIN,XC3S50ATQ144,BANK,TYPE,DIFF_PAIR,PIN_#
P1,TMS,VCCAUX,JTAG,,1
P2,TDI,VCCAUX,JTAG,,2
P3,IO_L02P_3,3,I/O,TRUE,3
P4,IO_L01P_3,3,I/O,TRUE,4
P5,IO_L02N_3,3,I/O,TRUE,5
P6,IO_L01N_3,3,I/O,TRUE,6
P7,IO_L03P_3,3,I/O,TRUE,7
P8,IO_L03N_3,3,I/O,TRUE,8
P9,GND,GND,GND,,9
P10,IO_L04P_3,3,I/O,TRUE,10
P11,IO_L04N_3/VREF_3,3,VREF,TRUE,11
P12,IO_L05P_3/LHCLK0,3,LHCLK,TRUE,12
P13,IO_L05N_3/LHCLK1,3,LHCLK,TRUE,13
P14,VCCO_3,3,VCCO,,14
P15,IO_L06P_3/LHCLK2,3,LHCLK,TRUE,15
P16,IO_L06N_3/IRDY2/LHCLK3,3,LHCLK,TRUE,16
P17,GND,GND,GND,,17
P18,IO_L07P_3/LHCLK4,3,LHCLK,TRUE,18
P19,IO_L08P_3/TRDY2/LHCLK6,3,LHCLK,TRUE,19
P20,IO_L07N_3/LHCLK5,3,LHCLK,TRUE,20
P21,IO_L08N_3/LHCLK7,3,LHCLK,TRUE,21
P22,VCCINT,VCCINT,VCCINT,,22
P23,VCCO_3,3,VCCO,,23
P24,IO_L09P_3,3,I/O,TRUE,24
P25,IO_L09N_3,3,I/O,TRUE,25
P26,GND,GND,GND,,26
P27,IO_L10P_3,3,I/O,TRUE,27
P28,IO_L11P_3,3,I/O,TRUE,28
P29,IO_L10N_3,3,I/O,TRUE,29
P30,IO_L11N_3,3,I/O,TRUE,30
P31,IO_L12P_3,3,I/O,TRUE,31
P32,IO_L12N_3,3,I/O,TRUE,32
P33,IP_L13P_3,3,INPUT,TRUE,33
P34,GND,GND,GND,,34
P35,IP_L13N_3/VREF_3,3,VREF,TRUE,35
P36,VCCAUX,VCCAUX,VCCAUX,,36
P37,IO_L01P_2/M1,2,DUAL,TRUE,37
P38,IO_L01N_2/M0,2,DUAL,TRUE,38
P39,IO_L02P_2/M2,2,DUAL,TRUE,39
P40,VCCO_2,2,VCCO,,40
P41,IO_L02N_2/CSO_B,2,DUAL,TRUE,41
P42,IO_L03P_2/RDWR_B,2,DUAL,TRUE,42
P43,IO_L04P_2/VS2,2,DUAL,TRUE,43
P44,IO_L03N_2/VS1,2,DUAL,TRUE,44
P45,IO_L04N_2/VS0,2,DUAL,TRUE,45
P46,IO_L05P_2,2,I/O,TRUE,46
P47,IO_L06P_2,2,I/O,TRUE,47
P48,IO_L05N_2/D7,2,DUAL,TRUE,48
P49,IO_L06N_2/D6,2,DUAL,TRUE,49
P50,IO_L07P_2/D5,2,DUAL,TRUE,50
P51,IO_L07N_2/D4,2,DUAL,TRUE,51
P52,VCCINT,VCCINT,VCCINT,,52
P53,IP_2/VREF_2,2,VREF,,53
P54,IO_L08P_2/GCLK14,2,GCLK,TRUE,54
P55,IO_L08N_2/GCLK15,2,GCLK,TRUE,55
P56,GND,GND,GND,,56
P57,IO_L09P_2/GCLK0,2,GCLK,TRUE,57
P58,IO_L10P_2/GCLK2,2,GCLK,TRUE,58
P59,IO_L09N_2/GCLK1,2,GCLK,TRUE,59
P60,IO_L10N_2/GCLK3,2,GCLK,TRUE,60
P61,VCCO_2,2,VCCO,,61
P62,IO_2/MOSI/CSI_B,2,DUAL,,62
P63,IO_L11P_2/AWAKE,2,PWRMGMT,TRUE,63
P64,IO_L11N_2/DOUT,2,DUAL,TRUE,64
P65,GND,GND,GND,,65
P66,VCCAUX,VCCAUX,VCCAUX,,66
P67,IO_L12P_2/INIT_B,2,DUAL,TRUE,67
P68,IO_L12N_2/D3,2,DUAL,TRUE,68
P69,IO_L13P_2/D2,2,DUAL,TRUE,69
P70,IO_L14P_2/D1,2,DUAL,TRUE,70
P71,IO_L13N_2/D0/DIN/MISO,2,DUAL,TRUE,71
P72,IO_L14N_2/CCLK,2,DUAL,TRUE,72
P73,DONE,VCCAUX,CONFIG,,73
P74,SUSPEND,VCCAUX,PWRMGMT,,74
P75,IO_L02P_1/LDC1,1,DUAL,TRUE,75
P76,IO_L01P_1/HDC,1,DUAL,TRUE,76
P77,IO_L02N_1/LDC0,1,DUAL,TRUE,77
P78,IO_L01N_1/LDC2,1,DUAL,TRUE,78
P79,IO_1,1,I/O,,79
P80,IP_1/VREF_1,1,VREF,,80
P81,GND,GND,GND,,81
P82,IO_L03P_1,1,I/O,TRUE,82
P83,IO_L04P_1/RHCLK0,1,RHCLK,TRUE,83
P84,IO_L03N_1,1,I/O,TRUE,84
P85,IO_L04N_1/RHCLK1,1,RHCLK,TRUE,85
P86,VCCO_1,1,VCCO,,86
P87,IO_L05P_1/RHCLK2,1,RHCLK,TRUE,87
P88,IO_L05N_1/TRDY1/RHCLK3,1,RHCLK,TRUE,88
P89,GND,GND,GND,,89
P90,IO_L06P_1/RHCLK4,1,RHCLK,TRUE,90
P91,IO_L07P_1/IRDY1/RHCLK6,1,RHCLK,TRUE,91
P92,IO_L06N_1/RHCLK5,1,RHCLK,TRUE,92
P93,IO_L07N_1/RHCLK7,1,RHCLK,TRUE,93
P94,VCCINT,VCCINT,VCCINT,,94
P95,VCCO_1,1,VCCO,,95
