PIN,XC3S700AFG400,BANK,TYPE,DIFF_PAIR,ROW,COLUMN
A1,GND,GND,GND,,A,1
A2,IO_L32P_0/VREF_0,0,VREF,TRUE,A,2
A3,IO_L30P_0,0,I/O,TRUE,A,3
A4,IO_L29P_0,0,I/O,TRUE,A,4
A5,IO_L26P_0,0,I/O,TRUE,A,5
A6,IO_L25P_0,0,I/O,TRUE,A,6
A7,IO_L24N_0,0,I/O,TRUE,A,7
A8,IO_L18N_0/GCLK11,0,GCLK,TRUE,A,8
A9,IO_L18P_0/GCLK10,0,GCLK,TRUE,A,9
A10,IO_L16P_0/GCLK6,0,GCLK,TRUE,A,10
A11,GND,GND,GND,,A,11
A12,IO_L13N_0,0,I/O,TRUE,A,12
A13,VCCAUX,VCCAUX,VCCAUX,,A,13
A14,IO_L07N_0,0,I/O,TRUE,A,14
A15,IO_L08N_0,0,I/O,TRUE,A,15
A16,IO_L05N_0,0,I/O,TRUE,A,16
A17,IO_L04N_0,0,I/O,TRUE,A,17
A18,IO_L01N_0,0,I/O,TRUE,A,18
A19,TCK,VCCAUX,JTAG,,A,19
A20,GND,GND,GND,,A,20
B1,IO_L02P_3,3,I/O,TRUE,B,1
B2,IO_L32N_0/PUDC_B,0,DUAL,TRUE,B,2
B3,IO_L30N_0,0,I/O,TRUE,B,3
B4,VCCO_0,0,VCCO,,B,4
B5,IO_L26N_0,0,I/O,TRUE,B,5
B6,GND,GND,GND,,B,6
B7,IO_L24P_0,0,I/O,TRUE,B,7
B8,IO_L20P_0,0,I/O,TRUE,B,8
B9,IO_L19P_0,0,I/O,TRUE,B,9
B10,VCCO_0,0,VCCO,,B,10
B11,IO_L14P_0,0,I/O,TRUE,B,11
B12,IO_L13P_0,0,I/O,TRUE,B,12
B13,IO_L11P_0,0,I/O,TRUE,B,13
B14,GND,GND,GND,,B,14
B15,IO_L08P_0,0,I/O,TRUE,B,15
B16,VCCO_0,0,VCCO,,B,16
B17,IO_L04P_0/VREF_0,0,VREF,TRUE,B,17
B18,IO_L01P_0,0,I/O,TRUE,B,18
B19,IO_L38N_1/A25,1,DUAL,TRUE,B,19
B20,IO_L38P_1/A24,1,DUAL,TRUE,B,20
C1,IO_L03P_3,3,I/O,TRUE,C,1
C2,IO_L02N_3,3,I/O,TRUE,C,2
C3,GND,GND,GND,,C,3
C4,IO_L29N_0,0,I/O,TRUE,C,4
C5,IO_L28P_0,0,I/O,TRUE,C,5
C6,IO_L25N_0,0,I/O,TRUE,C,6
C7,IO_L21P_0,0,I/O,TRUE,C,7
C8,IO_L20N_0,0,I/O,TRUE,C,8
